Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-27,66400,66800,65700,65700,50313.88281,1104241,1
2013-09-30,65100,65500,64400,65300,50007.5625,1513684,2
2013-10-01,65000,66700,64800,65800,50390.46875,1082602,3
2013-10-02,65800,66300,62800,62800,48093.02734,3460718,4
2013-10-04,63400,64500,62600,64200,49165.16797,1956006,5
2013-10-07,64500,64600,62900,63100,48322.76953,1846693,6
2013-10-08,62800,64500,62600,64000,49012.00391,1281739,7
2013-10-10,65000,65500,64400,65000,49777.82031,1628213,8
2013-10-11,65300,65500,64100,64600,49471.48828,1430243,9
2013-10-14,64100,64300,63200,63600,48705.67578,1154304,10
2013-10-15,64000,64900,63900,64600,49471.48828,1088477,11
2013-10-16,64300,64700,63700,64400,49318.32813,1145215,12
2013-10-17,64600,65200,63300,63800,48858.84375,1391869,13
2013-10-18,64000,64100,62200,63000,48246.19922,1436670,14
2013-10-21,62400,63700,62300,63700,48782.26563,1066222,15
2013-10-22,63200,63500,62600,63500,48629.09766,1194841,16
2013-10-23,63200,63900,63000,63700,48782.26563,1077939,17
2013-10-24,63700,63700,62400,63300,48475.93359,1409357,18
2013-10-25,62800,64200,62700,63600,48705.67578,1781116,19
2013-10-28,63200,63600,62600,63500,48629.09766,1278151,20
2013-10-29,63000,63300,62300,63000,48246.19922,1747520,21
2013-10-30,62600,62700,61500,61900,47403.79688,1704796,22
2013-10-31,61800,62200,61500,61700,47250.63672,991331,23
2013-11-01,62300,62400,61200,61500,47097.47266,971265,24
2013-11-04,61000,61400,60600,60600,46408.24609,1321920,25
2013-11-05,60800,61000,60000,60400,46255.08203,817474,26
2013-11-06,60200,63800,60200,62900,48169.60938,2209924,27
2013-11-07,63600,64200,63000,63000,48246.19922,1105230,28
2013-11-08,62500,63800,62400,62800,48093.02734,952052,29
2013-11-11,62800,63900,62400,62900,48169.60938,881266,30
2013-11-12,62500,63300,61700,61800,47327.21875,1178488,31
2013-11-13,62500,62700,60500,60500,46331.66016,934486,32
2013-11-14,60700,61400,60300,60500,46331.66016,943726,33
2013-11-15,60800,62200,60800,61300,46944.31641,1014790,34
2013-11-18,61700,62000,60900,61100,46791.14844,797887,35
2013-11-19,61100,63100,61000,62700,48016.44922,1291446,36
2013-11-20,62700,62800,61200,61700,47250.63672,1377981,37
2013-11-21,61100,61800,60800,61600,47174.05859,594068,38
2013-11-22,61700,62200,61000,61400,47020.89453,815792,39
2013-11-25,61400,61700,60700,61200,46867.72656,838412,40
2013-11-26,61200,61300,60600,60800,46561.40625,946446,41
2013-11-27,60700,61100,60100,60500,46331.66016,1406921,42
2013-11-28,60700,61200,60100,60200,46101.91797,1408329,43
2013-11-29,60900,61200,60000,60400,46255.08203,1144570,44
2013-12-02,60300,60900,59400,59600,45642.42969,1002076,45
2013-12-03,59100,59600,56100,56500,43268.41406,3189761,46
2013-12-04,56500,58000,56500,56600,43344.99219,2107626,47
2013-12-05,56800,57300,56100,56500,43268.41406,998993,48
2013-12-06,56300,57700,56300,56800,43498.15234,1068377,49
2013-12-09,57500,57700,56600,56600,43344.99219,764499,50
2013-12-10,56500,57000,55700,55900,42808.91797,1023450,51
2013-12-11,56100,56900,56000,56300,43115.24609,1034811,52
2013-12-12,55900,56700,55600,56200,43038.66406,1380931,53
2013-12-13,56000,56400,55300,55500,42502.59766,976251,54
2013-12-16,55500,55900,55000,55200,42272.85156,839304,55
2013-12-17,55500,55800,53900,54200,41507.03906,1317994,56
2013-12-18,54000,56000,54000,54500,41736.78125,1768213,57
2013-12-19,55000,55700,53000,53500,40970.96875,1794526,58
2013-12-20,53200,54800,53200,54700,41889.94531,862213,59
2013-12-23,54800,56200,54800,55700,42655.75781,1108825,60
2013-12-24,55800,56000,55300,55400,42426.01953,675216,61
2013-12-26,55500,55800,54900,55300,42349.43359,786993,62
2013-12-27,55300,56200,55100,55900,43357.75781,659560,63
2013-12-30,55500,56100,55200,56100,43512.87891,1195705,64
2014-01-02,56200,56300,52300,52700,40875.73438,3333908,65
2014-01-03,53200,53400,52000,52700,40875.73438,1793537,66
2014-01-06,52900,53300,51300,52500,40720.61328,2504523,67
2014-01-07,52200,54200,52200,54000,41884.05859,2081098,68
2014-01-08,54100,54300,53300,53900,41806.49609,1353618,69
2014-01-09,53400,54100,52400,52400,40643.04297,1687262,70
2014-01-10,52100,52900,51500,51600,40022.53906,1445664,71
2014-01-13,51600,53300,51500,52500,40720.61328,1271734,72
2014-01-14,52500,53900,52100,52100,40410.35938,1543502,73
2014-01-15,52100,52800,51500,51800,40177.67188,1536443,74
2014-01-16,52000,52300,51300,51500,39944.98047,1312313,75
2014-01-17,51500,51800,50300,50300,39014.22656,2319906,76
2014-01-20,50400,51100,50100,50600,39246.91016,1511651,77
2014-01-21,51100,52100,50800,51400,39867.41797,2142320,78
2014-01-22,51100,53600,51000,53100,41185.99219,3054323,79
2014-01-23,53300,53900,52800,53300,41341.11719,1507814,80
2014-01-24,53100,53300,51200,52700,40875.73438,2081766,81
2014-01-27,51200,54000,51200,53500,41496.24609,2614226,82
2014-01-28,53500,55100,53400,54200,42039.1875,1862029,83
2014-01-29,54900,55400,53600,54000,41884.05859,1959321,84
2014-02-03,53000,54300,53000,53600,41573.80078,1297739,85
2014-02-04,53100,54800,53000,54000,41884.05859,2251914,86
2014-02-05,54600,54700,53900,53900,41806.49609,941610,87
2014-02-06,54100,54200,53400,53700,41651.36719,844843,88
2014-02-07,54200,54300,52700,54000,41884.05859,874313,89
2014-02-10,53700,54200,53100,53900,41806.49609,825073,90
2014-02-11,53600,53900,53100,53200,41263.55078,768548,91
2014-02-12,53600,53700,52100,52300,40565.48828,1242089,92
2014-02-13,52300,53100,52100,52100,40410.35938,667746,93
2014-02-14,52700,53500,52600,53300,41341.11719,738476,94
2014-02-17,53600,54000,52800,53200,41263.55078,598499,95
2014-02-18,53000,53400,52500,52800,40953.29688,607895,96
2014-02-19,52600,53200,52000,53200,41263.55078,1082381,97
2014-02-20,52700,53000,52200,52300,40565.48828,1054584,98
2014-02-21,52600,53500,52500,53500,41496.24609,1183689,99
2014-02-24,53600,53900,52700,52700,40875.73438,792375,100
2014-02-25,53300,53900,53000,53900,41806.49609,794047,101
2014-02-26,53900,54800,53600,54500,42271.875,1352311,102
2014-02-27,54500,55900,54000,55700,43202.63281,1880457,103
2014-02-28,55800,56000,55000,55400,42969.94141,1183130,104
2014-03-03,55600,56900,54500,56000,43435.32031,1578890,105
2014-03-04,55600,56500,55200,55800,43280.19531,1111525,106
2014-03-05,56400,56900,56000,56700,43978.26172,1179068,107
2014-03-06,56400,56700,55300,55800,43280.19531,860907,108
2014-03-07,55800,55900,55100,55600,43125.07031,603294,109
2014-03-10,55100,55400,54500,54800,42504.55859,638071,110
2014-03-11,54800,55900,54700,55800,43280.19531,943842,111
2014-03-12,56700,57000,55600,55700,43202.63281,1189508,112
2014-03-13,55800,56300,54700,54800,42504.55859,1090218,113
2014-03-14,54100,55200,53800,54900,42582.125,817661,114
2014-03-17,54600,56600,54600,56600,43900.69531,1295568,115
2014-03-18,57100,57300,56200,56900,44133.38672,1196508,116
2014-03-19,56900,57700,56700,57100,44288.51172,1122577,117
2014-03-20,57000,57400,56700,56900,44133.38672,995543,118
2014-03-21,57500,58400,57300,58400,45296.83594,1287823,119
2014-03-24,58800,58900,57800,58300,45219.26563,808353,120
2014-03-25,58100,58600,57400,57900,44909.01563,581031,121
2014-03-26,58600,59500,58100,59200,45917.33984,1360441,122
2014-03-27,59500,59700,58900,59700,46305.14844,981268,123
2014-03-28,58800,59800,58500,59500,46150.02344,1025430,124
2014-03-31,59800,60200,58900,59300,45994.89844,1187209,125
2014-04-01,59000,60000,58800,59700,46305.14844,1224315,126
2014-04-02,60500,61300,60500,60800,47158.34375,1969494,127
2014-04-03,61500,61600,60000,60600,47003.22266,1410086,128
2014-04-04,61000,61300,60500,60900,47235.90625,1319245,129
2014-04-07,60600,60800,59800,60700,47080.78125,763556,130
2014-04-08,60200,61000,60000,60700,47080.78125,657407,131
2014-04-09,60400,61200,58400,59200,45917.33984,2982273,132
2014-04-10,59700,59800,57600,58600,45451.96094,2661787,133
2014-04-11,58100,59500,57900,59400,46072.45703,1147313,134
2014-04-14,59000,60000,59000,60000,46537.83984,773818,135
2014-04-15,60200,60400,58900,59500,46150.02344,891144,136
2014-04-16,59600,59700,58900,59000,45762.21094,977266,137
2014-04-17,59400,59500,58200,59100,45839.77734,1117859,138
2014-04-18,59000,59300,58600,58900,45684.64844,614187,139
2014-04-21,58700,58900,57900,58400,45296.83594,721902,140
2014-04-22,58400,59100,58300,59100,45839.77734,655450,141
2014-04-23,59400,59500,58000,58200,45141.70313,916378,142
2014-04-24,58000,58300,57100,58000,44986.58203,932904,143
2014-04-25,58100,58600,57100,57300,44443.63672,964243,144
2014-04-28,57500,58100,57500,57600,44676.32813,605928,145
2014-04-29,58000,58400,57700,57700,44753.89063,460221,146
2014-04-30,58300,58300,56000,57300,44443.63672,1504951,147
2014-05-02,57300,57400,56200,56300,43668.00391,1040390,148
2014-05-07,56900,57200,56100,56100,43512.87891,1278381,149
2014-05-08,56500,57200,55600,56900,44133.38672,906883,150
2014-05-09,56700,57400,56700,57400,44521.19922,835328,151
2014-05-12,57200,57200,56200,56800,44055.82031,376366,152
2014-05-13,57300,57800,56800,57100,44288.51172,597818,153
2014-05-14,58000,59600,57500,59600,46227.58984,1808122,154
2014-05-15,59900,60000,59000,59100,45839.77734,822915,155
2014-05-16,59000,59400,58000,58000,44986.58203,939052,156
2014-05-19,58700,59000,58000,59000,45762.21094,1359885,157
2014-05-20,58800,59000,58000,58400,45296.83594,774913,158
2014-05-21,58600,59600,58000,59400,46072.45703,1060637,159
2014-05-22,60000,60400,59500,60100,46615.40234,914478,160
2014-05-23,60200,60400,59900,60400,46848.09766,790275,161
2014-05-26,60600,60700,60200,60500,46925.65234,717499,162
2014-05-27,60400,60500,58800,59100,45839.77734,571024,163
2014-05-28,58800,59700,58500,59400,46072.45703,621340,164
2014-05-29,59700,59800,58900,59400,46072.45703,678673,165
2014-05-30,59800,59800,58600,58800,45607.08594,1030263,166
2014-06-02,58900,59100,57800,58200,45141.70313,584103,167
2014-06-03,57700,57800,56200,57600,44676.32813,1375512,168
2014-06-05,58000,58000,56300,56600,43900.69531,1326718,169
2014-06-09,56400,57000,56000,56500,43823.13672,1170703,170
2014-06-10,56900,57300,56400,56900,44133.38672,927063,171
2014-06-11,57300,57300,56100,56700,43978.26172,805909,172
2014-06-12,56600,56700,56100,56500,43823.13672,909157,173
2014-06-13,56400,56600,56000,56400,43745.57031,514447,174
2014-06-16,56000,56200,55500,56200,43590.44531,860972,175
2014-06-17,56100,57600,56000,57400,44521.19922,941355,176
2014-06-18,57600,57700,56400,56800,44055.82031,611207,177
2014-06-19,57100,57300,55600,55900,43357.75781,1241326,178
2014-06-20,55900,56100,54200,54200,42039.1875,1452143,179
2014-06-23,54400,54800,54000,54000,41884.05859,1471278,180
2014-06-24,53600,54700,53600,54300,42116.74609,985421,181
2014-06-25,54400,54800,54300,54500,42271.875,570881,182
2014-06-26,55900,56300,55200,55900,43357.75781,1155025,183
2014-06-27,56200,57200,55500,56700,43978.26172,1247507,184
2014-06-30,56700,56900,55700,56600,43900.69531,903046,185
2014-07-01,56600,56600,55300,55700,43202.63281,870937,186
2014-07-02,56000,56000,55000,55300,42892.37891,1215580,187
2014-07-03,55600,55600,54600,54900,42582.125,1594551,188
2014-07-04,55100,55200,54200,54500,42271.875,927377,189
2014-07-07,54300,55000,54100,55000,42659.68359,866429,190
2014-07-08,55300,55300,54100,54300,42116.74609,902070,191
2014-07-09,54300,54600,53600,54000,41884.05859,868550,192
2014-07-10,54000,54500,53900,54200,42039.1875,619754,193
2014-07-11,53900,54800,53800,54400,42194.30859,853061,194
2014-07-14,54500,54600,53500,53500,41496.24609,887924,195
2014-07-15,53600,55600,53400,55400,42969.94141,1314580,196
2014-07-16,55400,56400,55100,56000,43435.32031,1648220,197
2014-07-17,56500,56500,55700,55700,43202.63281,826403,198
2014-07-18,55600,56400,55400,56000,43435.32031,923032,199
2014-07-21,56400,56500,55300,55700,43202.63281,729922,200
2014-07-22,55800,56200,55200,55600,43125.07031,669526,201
2014-07-23,55700,55700,54800,55400,42969.94141,923189,202
2014-07-24,55500,56000,55100,55900,43357.75781,857345,203
2014-07-25,56500,57100,55800,56800,44055.82031,1873949,204
2014-07-28,56500,57400,56300,57100,44288.51172,779886,205
2014-07-29,57700,60500,57200,60500,46925.65234,3292442,206
2014-07-30,60400,61500,60200,61000,47313.46484,2179685,207
2014-07-31,61000,61400,60100,60900,47235.90625,1357694,208
2014-08-01,60000,61300,59600,61000,47313.46484,1161122,209
2014-08-04,61300,63000,61200,62300,48321.79297,1740860,210
2014-08-05,61500,62400,60600,61300,47546.16016,834752,211
2014-08-06,61200,61900,60900,61300,47546.16016,663198,212
2014-08-07,61500,62400,60900,61300,47546.16016,800983,213
2014-08-08,60800,61000,59600,60500,46925.65234,850828,214
2014-08-11,61500,61500,59500,59500,46150.02344,778920,215
2014-08-12,59900,61000,59800,60600,47003.22266,793733,216
2014-08-13,60800,61800,60200,61800,47933.98047,714535,217
2014-08-14,61100,62000,60800,60800,47158.34375,621036,218
2014-08-18,61500,61500,59900,59900,46460.27344,751381,219
2014-08-19,60000,61300,59900,60200,46692.97266,868771,220
2014-08-20,60200,60800,59800,60500,46925.65234,587611,221
2014-08-21,60000,60500,58500,59000,45762.21094,1200985,222
2014-08-22,58700,59300,58700,59300,45994.89844,509342,223
2014-08-25,59100,59500,58600,58900,45684.64844,493967,224
2014-08-26,59600,60100,59100,59200,45917.33984,634029,225
2014-08-27,59500,60200,59300,59800,46382.71484,706776,226
2014-08-28,60400,60500,59100,59600,46227.58984,640303,227
2014-08-29,59000,61200,59000,61200,47468.59375,1249887,228
2014-09-01,61400,61600,60300,60600,47003.22266,454521,229
2014-09-02,60200,60400,59300,60100,46615.40234,482427,230
2014-09-03,59500,60000,58400,58600,45451.96094,779507,231
2014-09-04,59000,59400,58100,58500,45374.39063,621566,232
2014-09-05,58100,59000,58100,58600,45451.96094,390047,233
2014-09-11,58600,58900,57500,58100,45064.14063,1192156,234
2014-09-12,58200,60100,58200,59600,46227.58984,779796,235
2014-09-15,60100,60100,59500,60100,46615.40234,436576,236
2014-09-16,60000,60100,58900,59000,45762.21094,491111,237
2014-09-17,59200,59200,58500,59000,45762.21094,422658,238
2014-09-18,58100,58800,53100,54400,42194.30859,6781572,239
2014-09-19,54000,55800,53700,54900,42582.125,2862771,240
2014-09-22,55500,55800,54500,54700,42427.00391,871331,241
2014-09-23,54000,54400,53200,53300,41341.11719,1861523,242
2014-09-24,52200,53400,52000,53100,41185.99219,1664439,243
2014-09-25,53300,54100,53200,53400,41418.67578,1338228,244
2014-09-26,52500,53400,52400,53000,41108.42969,870052,245
2014-09-29,53100,53600,53000,53200,41263.55078,898627,246
2014-09-30,53300,54200,53200,53700,41651.36719,1305412,247
2014-10-01,53200,54900,53200,54500,42271.875,1841783,248
2014-10-02,54500,55200,54000,54300,42116.74609,1875226,249
2014-10-06,53800,55900,53800,55600,43125.07031,1795423,250
2014-10-07,56300,56300,54900,56100,43512.87891,1326709,251
2014-10-08,55900,56100,55300,55900,43357.75781,1002745,252
2014-10-10,55900,56500,55000,56500,43823.13672,1348536,253
2014-10-13,55700,56700,55600,56400,43745.57031,798355,254
2014-10-14,56300,56300,55000,55300,42892.37891,886315,255
2014-10-15,55000,55500,54300,55000,42659.68359,745742,256
2014-10-16,54800,55000,53000,53300,41341.11719,1678704,257
2014-10-17,53000,54500,53000,53300,41341.11719,1164806,258
2014-10-20,54200,55200,53800,55000,42659.68359,662320,259
2014-10-21,54300,54900,53600,54000,41884.05859,747661,260
2014-10-22,54400,54500,51700,52800,40953.29688,1716491,261
2014-10-23,53400,55000,52500,54300,42116.74609,1093108,262
2014-10-24,54500,54800,53000,54400,42194.30859,1145594,263
2014-10-27,54500,54800,53700,54100,41961.62109,639065,264
2014-10-28,53700,54100,52700,52900,41030.86328,802698,265
2014-10-29,53000,53700,52800,53300,41341.11719,1105211,266
2014-10-30,53300,53400,52500,52800,40953.29688,522217,267
2014-10-31,53400,53400,52000,52100,40410.35938,1284967,268
2014-11-03,52000,52000,49050,49200,38161.03125,2403343,269
2014-11-04,49000,49150,48300,49100,38083.46484,1917729,270
2014-11-05,49100,50500,49000,49300,38238.59766,1236622,271
2014-11-06,49300,52700,49100,52700,40875.73438,1682824,272
2014-11-07,52600,54200,52300,53500,41496.24609,1226652,273
2014-11-10,53900,55300,53600,54500,42271.875,1285337,274
2014-11-11,54400,56800,53700,55600,43125.07031,1738561,275
2014-11-12,55600,56200,55000,55000,42659.68359,917210,276
2014-11-13,54600,55800,54600,55100,42737.25,459130,277
2014-11-14,54900,55400,54500,55200,42814.8125,560541,278
2014-11-17,55200,55900,54500,55800,43280.19531,655270,279
2014-11-18,55900,56000,55300,56000,43435.32031,557420,280
2014-11-19,56600,56800,54400,56400,43745.57031,1150276,281
2014-11-20,55700,56300,54800,56000,43435.32031,599652,282
2014-11-21,56000,56300,55300,56300,43668.00391,582746,283
2014-11-24,56300,56500,55900,55900,43357.75781,618331,284
2014-11-25,56200,56400,55300,55700,43202.63281,683980,285
2014-11-26,55700,55900,55000,55500,43047.50781,363417,286
2014-11-27,55100,56200,54800,55900,43357.75781,631174,287
2014-11-28,55500,56600,55500,55700,43202.63281,409607,288
2014-12-01,55100,56200,55100,55900,43357.75781,770538,289
2014-12-02,55900,56400,55000,55800,43280.19531,598379,290
2014-12-03,55400,56500,55300,55400,42969.94141,524714,291
2014-12-04,55800,57800,55400,57300,44443.63672,1192875,292
2014-12-05,57500,57900,57000,57700,44753.89063,752009,293
2014-12-08,57500,58300,56900,57300,44443.63672,512451,294
2014-12-09,57400,57800,56300,56700,43978.26172,498056,295
2014-12-10,56400,56900,55600,55700,43202.63281,502485,296
2014-12-11,54600,55700,54100,54100,41961.62109,1133367,297
2014-12-12,53700,56500,53700,55600,43125.07031,904533,298
2014-12-15,55600,56700,55100,55900,43357.75781,404906,299
2014-12-16,55300,56000,54700,55000,42659.68359,578468,300
2014-12-17,54600,55000,52400,52500,40720.61328,1682110,301
2014-12-18,53100,53300,51600,52600,40798.17578,1234336,302
2014-12-19,53400,53500,51900,52400,40643.04297,852687,303
2014-12-22,52200,52900,52000,52800,40953.29688,627869,304
2014-12-23,53000,53900,52800,53400,41418.67578,696563,305
2014-12-24,54100,54600,53400,53800,41728.92969,727336,306
2014-12-26,54000,54200,53800,54000,41884.05859,472313,307
2014-12-29,53300,53600,53000,53000,41884.05859,322808,308
2014-12-30,53800,53800,51700,52300,41330.87109,723916,309
2015-01-02,51600,52600,51600,52300,41330.87109,616867,310
2015-01-05,52200,52300,51600,52000,41093.78906,651421,311
2015-01-06,51500,51600,50900,51200,40461.57813,777311,312
2015-01-07,50500,52100,50500,51800,40935.73828,598333,313
2015-01-08,51800,52600,51800,52200,41251.84375,701430,314
2015-01-09,52700,54400,52500,53400,42200.16016,927979,315
