Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-09-26,14.81,14.87,14.78,14.78,13.80521,6200,1
2018-09-27,14.86,14.86,14.78,14.78,13.80521,3400,2
2018-09-28,14.719,14.79,14.719,14.726,13.754773,2000,3
2018-10-01,14.84,14.9,14.84,14.85,13.870594,3300,4
2018-10-02,14.73,14.85,14.73,14.84,13.861253,1700,5
2018-10-03,14.836,14.84,14.81,14.81,13.833231,3100,6
2018-10-04,14.671,14.671,14.544,14.544,13.584775,1500,7
2018-10-05,14.5,14.5,14.28,14.34,13.394231,3800,8
2018-10-08,14.28,14.32,14.166,14.257,13.316703,6000,9
2018-10-09,14.172,14.245,14.12,14.12,13.18874,6000,10
2018-10-10,14.19,14.19,13.67,13.695,12.791769,7200,11
2018-10-11,13.63,13.768,13.406,13.5,12.609631,8000,12
2018-10-12,13.68,13.7,13.47,13.489,12.599358,2600,13
2018-10-15,13.62,13.62,13.48,13.48,12.59095,29400,14
2018-10-16,13.59,13.75,13.59,13.743,12.836604,64900,15
2018-10-17,13.89,13.89,13.7,13.71,12.805779,3700,16
2018-10-18,13.7,13.7,13.378,13.45,12.562927,10400,17
2018-10-19,13.518,13.518,13.39,13.39,12.506886,1100,18
2018-10-22,13.35,13.45,13.35,13.44,12.553588,5600,19
2018-10-23,13.22,13.4,13.11,13.33,12.450843,28600,20
2018-10-24,13.29,13.29,12.855,12.865,12.016511,22200,21
2018-10-25,12.82,13.01,12.82,13.01,12.151947,54200,22
2018-10-26,12.67,13.019,12.62,12.83,11.983819,82800,23
2018-10-29,13.18,13.18,12.8,12.8,11.955797,6700,24
2018-10-30,12.786,12.93,12.786,12.861,12.012774,9900,25
2018-10-31,13.24,13.25,13.194,13.24,12.366777,2400,26
2018-11-01,13.3,13.535,13.3,13.5,12.609631,2800,27
2018-11-02,13.64,13.64,13.4,13.465,12.57694,3300,28
2018-11-05,13.5,13.5,13.36,13.36,12.478864,1200,29
2018-11-06,13.5,13.557,13.5,13.557,12.662871,1600,30
2018-11-07,13.6,13.71,13.6,13.71,12.805779,2900,31
2018-11-08,13.64,13.66,13.63,13.63,12.731056,3600,32
2018-11-09,13.54,13.54,13.36,13.36,12.478864,2300,33
2018-11-12,13.26,13.3,13.04,13.06,12.198649,10700,34
2018-11-13,13.07,13.106,13.07,13.09,12.226672,1300,35
2018-11-14,13.21,13.217,13.055,13.055,12.19398,4400,36
2018-11-15,13.05,13.25,13.05,13.19,12.320077,1700,37
2018-11-16,13.208,13.22,13.199,13.22,12.348098,1100,38
2018-11-19,13.23,13.23,12.99,12.99,12.133266,9200,39
2018-11-20,12.75,12.85,12.64,12.69,11.853053,6500,40
2018-11-21,12.83,12.934,12.83,12.932,12.079092,1700,41
2018-11-23,12.932,12.932,12.932,12.932,12.079092,100,42
2018-11-26,12.99,13.011,12.99,13.011,12.152882,3300,43
2018-11-27,12.99,12.99,12.96,12.98,12.123925,1200,44
2018-11-28,12.983,13.18,12.91,13.18,12.310735,2300,45
2018-11-29,13.16,13.21,13.14,13.21,12.338758,1300,46
2018-11-30,13.16,13.25,13.095,13.25,12.376119,1600,47
2018-12-03,13.66,13.66,13.51,13.54,12.646992,2200,48
2018-12-04,13.44,13.44,13.13,13.14,12.273374,3600,49
2018-12-06,12.77,12.835,12.697,12.835,11.98849,4600,50
2018-12-07,12.77,12.77,12.49,12.525,11.698934,6200,51
2018-12-10,12.52,12.56,12.26,12.475,11.652232,42100,52
2018-12-11,12.67,12.709,12.53,12.53,11.703605,8200,53
2018-12-12,12.68,12.85,12.64,12.708,11.869865,15900,54
2018-12-13,12.72,12.74,12.62,12.645,11.811022,5500,55
2018-12-14,12.5,12.57,12.5,12.53,11.703605,1000,56
2018-12-17,12.37,12.425,12.141,12.141,11.340261,2400,57
2018-12-18,12.372,12.452,12.3,12.315,11.502786,4000,58
2018-12-19,12.315,12.315,12.315,12.315,11.502786,300,59
2018-12-20,12.09,12.091,11.81,11.85,11.068453,4300,60
2018-12-21,11.96,11.96,11.663,11.663,10.893787,3900,61
2018-12-24,11.5,11.56,11.44,11.451,10.695767,10400,62
2018-12-26,11.42,11.73,11.341,11.73,10.956367,13800,63
2018-12-27,11.65,11.729,11.551,11.6,10.834942,6000,64
2018-12-28,11.73,11.73,11.605,11.655,11.20011,3900,65
2018-12-31,11.77,11.81,11.633,11.66,11.204916,6200,66
2019-01-02,11.51,11.765,11.465,11.76,11.301012,4300,67
2019-01-03,11.517,11.52,11.39,11.39,10.945454,2800,68
2019-01-04,11.585,11.887,11.585,11.842,11.379811,13100,69
2019-01-07,11.92,12.11,11.92,12.1,11.627743,2100,70
2019-01-08,12.17,12.215,12.036,12.08,11.608521,4700,71
2019-01-09,12.25,12.35,12.25,12.34,11.858377,5600,72
2019-01-10,12.26,12.345,12.26,12.32,11.839157,2700,73
2019-01-11,12.33,12.41,12.33,12.41,11.925643,1900,74
2019-01-14,12.32,12.331,12.31,12.331,11.849728,1600,75
2019-01-15,12.33,12.39,12.33,12.35,11.867984,2400,76
2019-01-16,12.43,12.5,12.406,12.45,11.964082,7000,77
2019-01-17,12.384,12.54,12.384,12.54,12.05057,4600,78
2019-01-18,12.686,12.73,12.685,12.695,12.199517,3900,79
2019-01-22,12.58,12.58,12.35,12.35,11.867984,6400,80
2019-01-23,12.41,12.41,12.29,12.31,11.829546,2900,81
2019-01-24,12.44,12.58,12.44,12.57,12.079397,3800,82
2019-01-25,12.786,12.86,12.786,12.827,12.326367,4400,83
2019-01-28,12.56,12.63,12.56,12.615,12.122641,2200,84
2019-01-29,12.68,12.68,12.59,12.59,12.098618,4600,85
